Name,Description,Priority,Notes,IfUsed
vSAN iSCSI target service alarm 'Network configuration',"All network interfaces used by vSAN iSCSI target service (including the default interface) must be configured on all hosts in the cluster. All network interfaces that have the same name form a distributed portal. If one or more hosts does not have a network interface, the vSAN iSCSI target service cannot operate correctly.",Low,New Alert,
vSAN iSCSI target service alarm 'Service runtime status',"Checks whether the service is enabled on all hosts in the cluster. If the service is not enabled on a host, run the following command: esxcli vsan iscsi status set --enabled=true. Or you can use the Edit action (Manage > Settings > General > vSAN iSCSI Target Service) to enable the iSCSI target service. This alarm also verifies the health of the following processes: vitd is used to provide the service, vitsafehd is used to hold opens for VMDKs. If vitd process is not running, use the following command to start the process: /etc/init.d/vitd start. If vitsafehd process is not running, use the following command to start the process: /etc/init.d/vitd io_restart.",Low,New Alert,
vSAN License Alarm 'vSAN Cluster Claimed Capacity Exceeds Entitlement',vSAN cluster has claimed more capacity than the entitled capacity,Low,New Alert,
vSAN network alarm 'Active multicast connectivity check',"This alarm captures multicast packets on all hosts in the cluster for a period of time. It checks for  the CMMDS Primary Heartbeat. All hosts elected to be a vSAN/CMMDS Primary (one per partition) send this heartbeat once every second. These heartbeats are sent over multicast and all hosts in the cluster have to receive them in order for the cluster to function properly. So if a host sends a heartbeat and another host didn't hear it, it indicates a multicast misconfiguration, usually in the physical network.",Low,New Alert,
vSAN network alarm 'All hosts have a vSAN vmknic configured',"In order to participate in a vSAN cluster, and form a single group of fully connected hosts, each host in a vSAN cluster must have a vmknic (VMkernel network interface or VMkernel adapter) configured for vSAN traffic.",Low,New Alert,
vSAN network alarm 'All hosts have matching multicast settings',"In order to participate in a vSAN cluster, and form a single group of fully connected hosts, each host in a vSAN cluster must use the same IP multicast addresses. Depending on whether the cluster uses IPv4 or IPv6, the corresponding multicast configuration will be verified. Adjust multicast IPs using the following commands: esxcli vsan network list  esxcli vsan network ip set",Low,New Alert,
vSAN network alarm 'Hosts disconnected from VC',"This alarm refers to whether VMware vCenter has an active connection to all hosts in the cluster. If any host is disconnected from VMware vCenter (or not responding), it could cause operational issues. If VMware vCenter is not connected to the host, its state is unknown to VMware vCenter. The host might be running, and might be participating in the vSAN cluster, serving data, and playing a critical role in the storage functions of the cluster. Or the host might be down and unavailable. VMware vCenter and the vSAN health check cannot fully assess the situation while the host is disconnected. If the host is participating in the vSAN cluster, it appears in the Unexpected vSAN cluster member check as unexpected, because its UUID cannot be determined. The health check cannot determine if the host it sees in the vSAN cluster is the disconnected host or not. Other health checks, like vSAN connectivity checks or disk health checks will not be able to take the disconnected host into account.",Low,New Alert,
vSAN network alarm 'Hosts with connectivity issues',"This alarm refers to situations where VMware vCenter lists the host as connected, but API calls from VMware vCenter to the host are failing. This issue is rare, but it can lead to similar issues as the host disconnected from VMware vCenter situation.",Low,New Alert,
vSAN network alarm 'Hosts with duplicate IP addresses',Checks if duplicate IP address is configured for vmknic interface.,Low,New Alert,
vSAN network alarm 'Hosts with LACP issues',Checks if LACP is working properly.,Low,New Alert,
vSAN network alarm 'Hosts with pNIC TSO issues',Checks if TSO is enabled for pNIC.,Low,New Alert,
vSAN network alarm 'Interhost connectivity check',This alarm refers to if vSAN API calls from each host can reach to other peer hosts in the cluster,Low,New Alert,
vSAN network alarm 'Multicast assessment based on other checks',"This alarm indicates there might be a multicast issue if vSAN configuration checks passed, unicast connectivity checks passed, but there is a vSAN cluster partition. If it is triggered, an additional 'Active multicast connectivity check' will be performed.",Low,New Alert,
vSAN network alarm 'Network latency check',"Performs a network latency check of vSAN hosts. The network configuration guidance of normal cluster requires RTT less than 1ms. To allow for temporary fluctuations, this health check reports warnings based on a conservative threshold of 5ms. If this alarm is triggered, check vmknic, uplink, VLAN, physical switch and associated settings to locate the network issue. Note: This alarm will be skipped if the pair of hosts failed connectivity check.",Low,New Alert,
vSAN network alarm 'No hosts in remote vSAN have multiple vSAN vmknics configured',Checks if any host in remote vSAN client or server cluster has more than one vSAN vmknic configured. Refer to Ask VMware KB in vSAN health monitor for more details.,Low,New Alert,
vSAN network alarm 'Physical network adapter link speed consistency',Checks if the link speed of physical network adapter used by vSAN in each of host is consistent. The inconsistent link speed of physical network adapter can introduce vSAN performance issues. Refer to Ask VMware KB in vSAN health monitor for remediation steps.,Low,New Alert,
vSAN network alarm 'RDMA Configuration Health',"Checks if the vSAN RDMA-enabled physical NIC is configured for lossless traffic. To ensure a lossless layer 2 environment, the Data Center Bridging (DCB) mode must be configured as IEEE and the Priority Flow Control (PFC) value must set to 3.",Low,New Alert,
vSAN network alarm 'Remote vCenter network connectivity',Check all remote VMware vCenter instances' network connectivity.,Low,New Alert,
vSAN network alarm 'Server cluster partition',"Normally all hosts in the client cluster mounting remote vSAN datastore must be able to communicate with all hosts in the server cluster. In the case of network partition, client hosts might only see a subset of server hosts. It is possible that different client hosts see different server hosts. Object availability will be impacted for as long as the partition lasts. This alarm is triggered if the server cluster has partitions. Refer to the health monitor for more details.",Low,New Alert,
vSAN network alarm 'vMotion: Basic (unicast) connectivity check',"Performs a ping test with small packet size between all VMkernel adapters with vMotion traffic enabled. If this alarm is triggered, it indicates that the network is misconfigured. The test sends three pings. It shows a warning when one ping is lost and an error when two or more pings fail. The failure could be caused by many factors. There might be problems in the virtual network, including VMkernel adapters or Virtual Switches. There might be problems in the physical network, such as cables, physical NICs, or physical switches.",Low,New Alert,
vSAN network alarm 'vMotion: MTU check (ping with large packet size)',"Performs a ping test with large packet size between all VMkernel adapters with vMotion traffic enabled. When the small ping test succeeds, the large ping test also succeeds when the MTU size is consistently configured across all VMkernel adapters, virtual switches, and any physical switches. If the alarm is triggered, identify the source of the misconfiguration on the vSAN network. Check the VMkernel adapters, the virtual switches, or the physical network switches.",Low,New Alert,
vSAN network alarm 'vSAN cluster partition',"To ensure proper functionality, all vSAN hosts must be able to communicate over both multicast and unicast. If they cannot, a vSAN cluster will split into multiple partitions, sub-groups of hosts that cannot communicate to other sub-groups. When this happens, vSAN objects might become unavailable until the network misconfiguration is resolved.",Low,New Alert,
vSAN network alarm 'vSAN: Basic (unicast) connectivity check',"Performs a ping test with small packet size from each host to all other hosts. If this alarm is triggered, there is a basic issue with network connectivity. Check vmknic, uplink, VLAN, physical switch and associated settings.",Low,New Alert,
vSAN network alarm 'vSAN: MTU check (ping with large packet size)',"Performs a ping test with large packet size from each host to all other hosts. If this alarm is triggered but the basic connectivity check alarm is not triggered, it means that there is an MTU misconfiguration somewhere in the vSAN network. The source of the misconfiguration must be traced. It could be the VMkernel adapters, the virtual switches, or the physical network switches.",Low,New Alert,
vSAN online health alarm 'Audit CEIP Collected Data',Default alarm to monitor changes for the online health test 'Audit CEIP Collected Data',Low,New Alert,
vSAN online health alarm 'CNS Critical Alert - Patch available with important fixes',Default alarm to monitor changes for the online health test 'CNS Critical Alert - Patch available with important fixes',Low,New Alert,
vSAN online health alarm 'Customer advisory for HPE Smart Array',Default alarm to monitor changes for the online health test 'Customer advisory for HPE Smart Array',Low,New Alert,
vSAN online health alarm 'Dual encryption applied to VMs on vSAN',Default alarm to monitor changes for the online health test 'Dual encryption applied to VMs on vSAN',Low,New Alert,
vSAN online health alarm 'End of general support for lower vSphere version',Default alarm to monitor changes for the online health test 'End of general support for lower vSphere version',Low,New Alert,
vSAN online health alarm 'ESXi system logs stored outside vSAN datastore',"This alarm will be triggered if ESXi syslog or scratch partition are stored on a vSAN datastore, which can cause the ESXi host to become unresponsive to VMware vCenter and the host CLI. Check more details in vSAN health monitor UI.",Low,New Alert,
vSAN online health alarm 'Fix is available for a critical vSAN software defect with Guest Trim/Unmap configuration enabled',Default alarm to monitor changes for the online health test 'Fix is available for a critical vSAN software defect with Guest Trim/Unmap configuration enabled',Low,New Alert,
vSAN online health alarm 'Hardware compatibility issue for witness appliance',Default alarm to monitor changes for the online health test 'Hardware compatibility issue for witness appliance',Low,New Alert,
vSAN online health alarm 'HPE NVMe Solid State Drives - critical firmware upgrade required',Default alarm to monitor changes for the online health test 'HPE NVMe Solid State Drives - critical firmware upgrade required',Low,New Alert,
vSAN online health alarm 'HPE SAS Solid State Drive',Default alarm to monitor changes for the online health test 'HPE SAS Solid State Drive',Low,New Alert,
vSAN online health alarm 'Important patch available for vSAN issue',Default alarm to monitor changes for the online health test 'Important patch available for vSAN issue',Low,New Alert,
vSAN online health alarm 'Maximum host number in vSAN over RDMA',Default alarm to monitor changes for the online health test 'Maximum host number in vSAN over RDMA',Low,New Alert,
vSAN online health alarm 'Multiple VMs share the same vSAN home namespace',Default alarm to monitor changes for the online health test 'Multiple VMs share the same vSAN home namespace',Low,New Alert,
vSAN online health alarm 'Proper vSAN network traffic shaping policy is configured',This alarm will be triggered if traffic shaping policy is applied to vSAN network but not satisfy the minimum networking requests of vSAN. Check more details in vSAN health monitor UI.,Low,New Alert,
vSAN online health alarm 'Thick-provisioned VMs on vSAN',Default alarm to monitor changes for the online health test 'Thick-provisioned VMs on vSAN',Low,New Alert,
vSAN online health alarm 'Upgrade vSphere CSI driver with caution',Default alarm to monitor changes for the online health test 'Upgrade vSphere CSI driver with caution',Low,New Alert,
vSAN online health alarm 'VM storage policy is not-recommended',Default alarm to monitor changes for the online health test 'VM storage policy is not-recommended',Low,New Alert,
vSAN online health alarm 'vSAN configuration check for large scale cluster',Default alarm to monitor changes for the online health test 'vSAN configuration check for large scale cluster',Low,New Alert,
vSAN online health alarm 'vSAN Critical Alert - Release available for critical vSAN issue',Default alarm to monitor changes for the online health test 'vSAN Critical Alert - Release available for critical vSAN issue',Low,New Alert,
vSAN online health alarm 'vSAN critical alert regarding a potential data inconsistency',Default alarm to monitor changes for the online health test 'vSAN critical alert regarding a potential data inconsistency',Low,New Alert,
vSAN online health alarm 'vSAN management server system resource check',Default alarm to monitor changes for the online health test 'vSAN management server system resource check',Low,New Alert,
vSAN online health alarm 'vSAN v1 disk in use',Default alarm to monitor changes for the online health test 'vSAN v1 disk in use',Low,New Alert,
vSAN performance service alarm 'All hosts contributing stats',"Verifies that all hosts are contributing performance stats. If this alarm is triggered, it means some hosts are not contributing performance statistics. There are no known causes for this alarm. If it triggers consistently, contact VMware Support and file a Support Request. Provide support bundles for the entire cluster, including VMware vCenter and all hosts.",Low,New Alert,
vSAN performance service alarm 'Network diagnostic mode',Checks if the vSAN performance service network diagnostic mode is enabled. This alarm is triggered when the network diagnostic mode is enabled for more than 24 hours,Low,New Alert,
vSAN performance service alarm 'Performance data collection',"Checks the statistics collection of the vSAN performance service. Statistics are collected at regular intervals, such as every 5 minutes. If statistics collection or writing to storage fail for three consecutive intervals, this alarm is triggered. Check the health of the vSAN datastore, especially the health of all physical disks, the network health, and the health of the vSAN Stats DB object. If all of these items are healthy, contact VMware Support and file a Support Request.",Low,New Alert,
vSAN performance service alarm 'Performance service status',Checks the status of the vSAN performance service. Warning of this alarm can be remediated by enabling vSAN performance service.,Low,New Alert,
vSAN performance service alarm 'Stats DB object',"Checks the health of the vSAN performance service statistics database object. This alarm is triggered if Stats DB object does not exist, the Stats DB object is not 100 percent healthy, the object is unavailable, or the vSAN Stats DB object is running low on free logical disk space.",Low,New Alert,
vSAN performance service alarm 'Stats DB object conflicts',"Checks stats DB object conflicts. If the other Stats DB objects are useful, they can be backed up as files through the datastore browser, or they can be renamed and kept in the datastore. Merging of multiple Stats DB objects is not supported.",Low,New Alert,
vSAN performance service alarm 'Stats primary election',"Checks the stats primary node of vSAN performance service. This alarm is triggered if there is no stats primary node. Check the health of the vSAN datastore and the Stats DB object, especially the network health. If all of these checks are confirmed healthy, contact VMware Support and file a Support Request.",Low,New Alert,
vSAN performance service alarm 'Verbose mode',Checks if the vSAN performance service verbose mode is enabled. This alarm is triggered when verbose mode is enabled for more than 5 days.,Low,New Alert,
vSAN physical disk alarm 'Component limit',"Checks if the number of components on the physical disk reaches the maximum limit. Since each vSAN object is composed of a set of components, determined by capabilities that are in use in the VM Storage Policy, the deployment of new virtual machines might fail, or rebuild operations might not be allowed if the component limit has been reached. You must either add more host or delete some vSAN objects. However, if the component is full in witness node, you must provide more capacity.",Low,New Alert,
vSAN physical disk alarm 'Component metadata',"This alarm is triggered if vSAN has encountered an issue with the integrity of the metadata of a component in this disk. This could be due to faulty drives, faulty controller or a misbehaving device driver. It also can be caused by a problem in the vSAN software. Contact VMware Support.",Low,New Alert,
vSAN physical disk alarm 'Congestion',"If this alarm is triggered, vSAN is still using the disk, but it is in a state of reduced performance, resulting in low throughput/IOPS and high latencies for vSAN objects using this disk.",Low,New Alert,
vSAN physical disk alarm 'Disk capacity',"If this alarm is triggered for a specific disk, it indicates that this disk is low on free disk space. This alarm is only applicable to capacity tier drives, not to the cache devices.",Low,New Alert,
vSAN physical disk alarm 'Memory pools (heaps)',"This alarm is triggered if vSAN is running low on vital memory pools needed for the correct operation of physical disks. The disk might also report bad congestion health, which will lead to performance issues. Contact VMware Support.",Low,New Alert,
vSAN physical disk alarm 'Memory pools (slabs)',"This alarm is triggered if vSAN is running low on a vital memory pool needed for the operation of physical disks. The disk might also report bad congestion health, which will lead to performance issues. Contact VMware Support.",Low,New Alert,
vSAN physical disk alarm 'Operation',"Checks the physical disk operation health for both vSAN disks and vSAN direct disks for all hosts in the vSAN cluster. If this alarm is triggered on a VSAN disk, the disk cannot be used by vSAN. Possible reasons are issues in reading the disk metadata or a vSAN software issue preventing it to use this disk. For vSAN direct disks, the disk cannot be used, with the possible reason being an issue reading the disk operational state description that prevents the disk from being used.",Low,New Alert,
vSAN physical disk alarm 'Physical disk health retrieval issue',"If this alarm is triggered, it indicates that there was an issue retrieving the physical disk information from at least one host in the vSAN cluster. Please refer to Ask VMware KB in vSAN health monitor for details about this particular cause.",Low,New Alert,
vSAN physical disk alarm 'vSAN max component size',"When a capacity disk used for vSAN is smaller than 255 GB (default maximum component size), virtual machines that run on the vSAN Datastore might experience disk space issues. Refer to Ask VMware KB in vSAN health monitor for instructions about how to change maximum component size.",Low,New Alert,
vSAN stretched cluster alarm for 'Site latency' health,"This alarm is triggered if the worst latency between any two hosts in data sites and witness exceed certain limit. Warning threshold: 5ms between/within data sites, 200ms between data site and witness in NON-ROBO cluster, 500ms between data site and witness in ROBO cluster. Check the network between the failed pair of hosts to ensure the network setup meets the minimal requirements. NOTE: The pair of hosts failing in vSAN basic connectivity (small ping) test will be skipped.",Low,New Alert,
vSAN stretched cluster alarm 'Hardware compatibility issue for witness appliance',There will be problems for witness appliance upgrade. It's recommended to address the issues before entering the upgrade workflow. Check vSAN Skyline health for more details.,Low,New Alert,
vSAN stretched cluster alarm 'Invalid preferred fault domain on witness host',"The following (witness) hosts have invalid preferred fault domains. The preferred fault domain is utilized by the witness host, and it must be the fault domain of either data site in the vSAN stretched cluster. It cannot be empty. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Invalid unicast agent',This alarm is triggered if the cluster contains hosts with invalid unicast agent. An invalid unicast agent on the host can cause a communication malfunction with the witness hosts. Refer to Ask VMware KB in vSAN health monitor for more details.,Low,New Alert,
vSAN stretched cluster alarm 'No disk claimed on witness host',"The stretched cluster witness host does not have a valid disk claimed. If the witness host does not have any disk claimed, its fault domain is not available and vSAN cannot provision any objects with Number of Failures To Tolerate set to one (FTT = 1). Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Preferred fault domain unset',"The preferred fault domain is not set in the cluster for the witness host. The preferred fault domain is utilized by the witness host, and it must be the fault domain of either data site in the vSAN stretched cluster. It cannot be empty. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Shared witness per cluster component limit scaled down',Checks if the per cluster component limit has been scaled down in shared witness node due to lack of memory.,Low,New Alert,
vSAN stretched cluster alarm 'Unexpected number of data node in shared witness cluster',Checks if the number of data nodes in a shared witness cluster exceeds 2. The number of data hosts of any stretched cluster with shared witness cannot exceed 2.,Low,New Alert,
vSAN stretched cluster alarm 'Unexpected number of fault domains',"The stretched cluster does not contain two valid fault domains. Each data site must reside in a different fault domain. The total number of fault domains for data sites must be two. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Unicast agent configuration inconsistent',"The stretched cluster contains multiple unicast agents. This means multiple unicast agents were set on non-witness hosts. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Unicast agent not configured',"Hosts must setup unicast agent so that they are able to communicate with the witness node. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Unsupported host version',Cluster contains hosts whose ESXi version does not support stretched cluster.,Low,New Alert,
vSAN stretched cluster alarm 'Witness appliance upgrade to vSphere 7.0 or higher with caution',"Current witness appliance version is older than vSphere 7.0. There will be problem if you upgrade witness appliance to vSphere 7.0 or higher directly. Refer to the Ask VMware knowledge base article to reconfigure witness appliance and reboot before entering the upgrade workflow. Or you can deploy a new witness appliance of vSphere 7.0 or higher, and reconfigure cluster.",Low,New Alert,
vSAN stretched cluster alarm 'Witness host fault domain misconfigured',"The following witness node resides in one of the data fault domains. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Witness host not found',"The stretched cluster does not contain a valid witness host. If this alarm is triggered, the vSAN stretched cluster has configuration errors that affect its operation. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN stretched cluster alarm 'Witness host within vCenter cluster',"The witness host should not be a part of VMware vCenter cluster, which forms the stretched cluster. If the witness host resides within a vSAN-enabled cluster, it causes problems with vSphere DRS, HA, and EVC. Refer to Ask VMware KB in vSAN health monitor for more details.",Low,New Alert,
vSAN Support Insight,Default alarm to monitor the status of vSAN Support Insight,Low,New Alert,
vSphere Cluster Services are disabled by Retreat Mode. vSphere DRS is not functioning and vSphere HA will not perform optimally,"Alarm to indicate that DRS is enabled, but vCLS mode is set to ABSENT.",Low,New Alert,
vSphere Cluster Services are disabled by Retreat Mode. vSphere HA will not perform optimally,"Alarm to indicate that HA is enabled, DRS is disabled, and vCLS mode is set to ABSENT.",Low,New Alert,
vStats DB Disk Exhaustion on ZHLSVC011,Alarm that monitors vSphere vStats DB File System Resource Exhaustion. (vCenterServerHostname),Low,New Alert,
VUM task is cancelled. Refer https://kb.vmware.com/s/article/90842,The alarm that is triggered when an in-flight VUM task on datacenter or folder is cancelled due to VC TLS certificate replacement,Low,New Alert,
VUM task on cluster is cancelled. Refer https://kb.vmware.com/s/article/90842,The alarm that is triggered when an in-flight VUM task on cluster is cancelled due to VC TLS certificate replacement,Low,New Alert,
VUM task on host is cancelled. Refer https://kb.vmware.com/s/article/90842,The alarm that is triggered when an in-flight VUM task on host is cancelled due to VC TLS certificate replacement,Low,New Alert,
Warning: VPXD memory usage overload,VPXD memory usage has passed the configured soft limit.,Low,New Alert,
Warnings detected after vCenter Server TLS certificate replacement,"TLS certificate replaced successfully, but there are warnings detected. Please address the warnings by following the remediation instructions provided in the corresponding event description",Low,New Alert,
WCP Service Health Alarm,Default alarm that monitors the health status of WCP Service.,Low,New Alert,
